_id,dateScanned,barcode,brandCode,purchasedItemCount,totalSpent,userId
601485370a720f05f8000172,2021-01-29 16:59:19,036000320893,,1.0,20.98,60147d2ac8b50e11d8453f53
60182f290a720f05f800032f,2021-02-01 11:41:13,4011,,1.0,1.0,60182f1dc8b50e11d84548c4
601890c70a7214ad28000028,2021-02-01 18:37:43,4011,,1.0,1.0,601890689a1b091205b61c87
60183c850a7214ad50000308,2021-02-01 12:38:13,4011,,3.0,27.0,60183c839a1b091205b61aca
601830ce0a7214ad500002df,2021-02-01 11:48:14,4011,,5.0,28.0,601830ce9a1b091205b618e8
60182f370a720f05f8000335,2021-02-01 11:41:27,4011,,2.0,1.0,60182f1dc8b50e11d84548c4
60182d8c0a720f05f8000318,2021-02-01 11:34:20,4011,,1.0,1.0,60182d6dc8b50e11d84547b2
601830d30a7214ad500002e1,2021-02-01 11:48:19,4011,,4.0,29.0,601830ce9a1b091205b618e8
6018369f0a7214ad500002f1,2021-02-01 12:13:03,4011,,1.0,1.0,601836829a1b091205b6194d
601830a70a7214ad500002d3,2021-02-01 11:47:35,,,3.0,3.0,60183090c8b50e11d84549c0
60182f610a720f05f800033e,2021-02-01 11:42:09,079400066619,,1.0,1.0,60182f1dc8b50e11d84548c4
601890b80a7214ad28000020,2021-02-01 18:37:28,4011,,4.0,25.0,601890b2c8b50e11d8454e82
601485370a720f05f8000175,2021-01-29 16:59:19,036000320893,,1.0,21.0,60147d2ac8b50e11d8453f53
601890d50a720f05f4000057,2021-02-01 18:37:57,016000128620,BRAND,1.0,10.0,601890689a1b091205b61c87
6014853a0a7214ad50000106,2021-01-29 16:59:22,036000320893,,1.0,20.95,60147d2ac8b50e11d8453f53
60189c850a7214ad28000034,2021-02-01 19:27:49,075925306254,,1.0,1.0,60189c859a1b091205b61de1
60189c980a7214ad28000040,2021-02-01 19:28:08,4011,,4.0,26.0,60189c94c8b50e11d8454f6b
60189c9c0a7214ad28000045,2021-02-01 19:28:12,4011,,5.0,27.0,60189c94c8b50e11d8454f6b
